"Source:","C:\Users\hr193\OneDrive\Documents\Projects\hoatzin\board\hoatzin.kicad_sch"
"Date:","11/10/2022 12:02:30 PM"
"Tool:","Eeschema (6.0.8)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","60"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Centerline_Pitch","Comment","Description","Digi-Key Part Number","EU_RoHS_Compliance","Farnell Part Number","Height","LCSC","MANUFACTURER","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","Number_of_Positions","Product_Type"
"","","R2","1800","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","125mW Thick Film Resistors 150V ±1% ±100ppm/℃ -55℃~+155℃ 1.8kΩ 0805 Chip Resistor - Surface Mount ROHS","P1.8KDACT-ND","","","","","Panasonic Electronic Components","Panasonic Electronic Components","ERA-6AEB182V","","","",""
"","","R3","470","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","470 Ohms 0.1% 0.125W, 1/8W Chip Resistor 0805 (2012 Metric) Automotive AEC-Q200","P470DACT-ND","","","","","Panasonic Electronic Components","Panasonic Electronic Components","ERA-6AEB471V","","","",""
"","","R4","220","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","1/8W Thick Film Resistors 150V ±1% ±100ppm/℃ -55℃~+155℃ 220Ω 0805 Chip Resistor - Surface Mount ROHS","P220ADCT-ND","","","","","Panasonic Electronic Components","Panasonic Electronic Components","ERJ-P06J221V","","","",""
"","","R5","220","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","1/8W Thick Film Resistors 150V ±1% ±100ppm/℃ -55℃~+155℃ 220Ω 0805 Chip Resistor - Surface Mount ROHS","P220ADCT-ND","","","","","Panasonic Electronic Components","Panasonic Electronic Components","ERJ-P06J221V","","","",""
"","","R6","220","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","1/8W Thick Film Resistors 150V ±1% ±100ppm/℃ -55℃~+155℃ 220Ω 0805 Chip Resistor - Surface Mount ROHS","P220ADCT-ND","","","","","Panasonic Electronic Components","Panasonic Electronic Components","ERJ-P06J221V","","","",""
"","","R7","220","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","1/8W Thick Film Resistors 150V ±1% ±100ppm/℃ -55℃~+155℃ 220Ω 0805 Chip Resistor - Surface Mount ROHS","P220ADCT-ND","","","","","Panasonic Electronic Components","Panasonic Electronic Components","ERJ-P06J221V","","","",""
"","","R10","1000","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","125mW Thick Film Resistors 150V ±1% ±100ppm/℃ -55℃~+155℃ 1kΩ 0805 Chip Resistor - Surface Mount ROHS","P1.00KCCT-ND","","","","","Panasonic Electronic Components","Panasonic Electronic Components","ERJ-6ENF1001V","","","",""
"","","R11","1000","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","125mW Thick Film Resistors 150V ±1% ±100ppm/℃ -55℃~+155℃ 1kΩ 0805 Chip Resistor - Surface Mount ROHS","P1.00KCCT-ND","","","","","Panasonic Electronic Components","Panasonic Electronic Components","ERJ-6ENF1001V","","","",""
"","","R12","1000","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","125mW Thick Film Resistors 150V ±1% ±100ppm/℃ -55℃~+155℃ 1kΩ 0805 Chip Resistor - Surface Mount ROHS","P1.00KCCT-ND","","","","","Panasonic Electronic Components","Panasonic Electronic Components","ERJ-6ENF1001V","","","",""
"","","R13","1000","Device:R","Resistor_SMD:R_0805_2012Metric","~","","","","","125mW Thick Film Resistors 150V ±1% ±100ppm/℃ -55℃~+155℃ 1kΩ 0805 Chip Resistor - Surface Mount ROHS","P1.00KCCT-ND","","","","","Panasonic Electronic Components","Panasonic Electronic Components","ERJ-6ENF1001V","","","",""
